academic_year,tap_college_code,federal_school_code,level,tap_level_of_study,tap_college_name,sector_type,tap_sector_group,tap_recipient_headcount,tap_recipient_ftes,tap_recipient_dollars
2008,2053,2864,U,2 yr Undergrad,DUTCHESS COMMUNITY COLLEGE,PUBLIC,4-SUNY CC,1696,1337.33,2119983.0
2008,2036,6787,U,2 yr Undergrad,CLINTON COMMUNITY COLLEGE,PUBLIC,4-SUNY CC,875,681.29,1325090.13
2018,2260,6788,U,2 yr Undergrad,TOMPKINS CORTLAND COMM COLLEGE,PUBLIC,4-SUNY CC,1058,804.46,2563808.73
2018,2065,10684,U,5 yr Undergrad,ERIE COMMUNITY COLLEGE,PUBLIC,4-SUNY CC,3,2.52,7740.41
2018,2070,2866,U,5 yr Undergrad,FASHION INST TECH-LOWER DIVISION,PUBLIC,4-SUNY CC,1,0.5,2412.74
2018,2254,4788,U,2 yr Undergrad,HERKIMER COMMUNITY COLLEGE,PUBLIC,4-SUNY CC,936,698.55,2137219.19
2006,5750,2866,G,Grad,FASHION INST TECHNOLOGY-GRAD,PUBLIC,4-SUNY CC,3,2.5,900.0
2018,2160,2881,U,2 yr Undergrad,WESTCHESTER COMMUNITY COLLEGE,PUBLIC,4-SUNY CC,2572,1935.4,5473952.62
2008,2105,2871,U,2 yr Undergrad,MOHAWK VALLEY COMMUNITY COLLEGE,PUBLIC,4-SUNY CC,3225,2503.83,4930352.05
2006,2113,2873,U,2 yr Undergrad,NASSAU COMMUNITY COLLEGE,PUBLIC,4-SUNY CC,5009,3807.67,7684569.9
2006,975,2866,U,5 yr Undergrad,FASHION INST TECH UPPER DIVISION,PUBLIC,4-SUNY CC,32,26.25,98640.0
2018,2038,6789,U,2 yr Undergrad,COLUMBIA-GREENE COMMUNITY COLLEGE,PUBLIC,4-SUNY CC,307,234.85,638254.86
2007,2240,2867,U,2 yr Undergrad,FULTON MONTGOMERY COMM COLLEGE,PUBLIC,4-SUNY CC,1001,790.67,1515589.39
2007,2243,6785,U,2 yr Undergrad,SCHENECTADY COUNTY COMM COLLEGE,PUBLIC,4-SUNY CC,1386,1046.54,1746327.0
2007,2243,6785,U,4 yr Undergrad,SCHENECTADY COUNTY COMM COLLEGE,PUBLIC,4-SUNY CC,1,0.25,587.5
2007,2252,6782,U,2 yr Undergrad,GENESEE COMMUNITY COLLEGE,PUBLIC,4-SUNY CC,2198,1777.5,3532597.15
2007,2254,4788,U,2 yr Undergrad,HERKIMER COMMUNITY COLLEGE,PUBLIC,4-SUNY CC,1712,1378.71,2508083.64
2007,2256,7532,U,2 yr Undergrad,FINGER LAKES COMMUNITY COLLEGE,PUBLIC,4-SUNY CC,2177,1734.54,3198938.93
2007,2256,7532,U,5 yr Undergrad,FINGER LAKES COMMUNITY COLLEGE,PUBLIC,4-SUNY CC,2,1.5,4545.0
2007,2258,7111,U,2 yr Undergrad,NORTH COUNTRY COMMUNITY COLLEGE,PUBLIC,4-SUNY CC,688,546.0,1133246.75
2007,2260,6788,U,2 yr Undergrad,TOMPKINS CORTLAND COMM COLLEGE,PUBLIC,4-SUNY CC,1685,1317.67,2650914.67
2007,5750,2866,G,Grad,FASHION INST TECHNOLOGY-GRAD,PUBLIC,4-SUNY CC,4,3.0,1175.0
2018,2070,2866,U,2 yr Undergrad,FASHION INST TECH-LOWER DIVISION,PUBLIC,4-SUNY CC,1139,993.55,3057041.68
2018,2185,2875,U,2 yr Undergrad,ONONDAGA COMMUNITY COLLEGE,PUBLIC,4-SUNY CC,2856,2153.58,6576559.06
2018,2005,2861,U,2 yr Undergrad,CAYUGA COMMUNITY COLLEGE,PUBLIC,4-SUNY CC,962,737.25,2093419.89
2018,2053,2864,U,2 yr Undergrad,DUTCHESS COMMUNITY COLLEGE,PUBLIC,4-SUNY CC,1417,1094.38,2458957.86
2018,2243,6785,U,2 yr Undergrad,SCHENECTADY COUNTY COMM COLLEGE,PUBLIC,4-SUNY CC,897,670.01,1777852.39
2018,2180,2872,U,5 yr Undergrad,MONROE COMMUNITY COLLEGE,PUBLIC,4-SUNY CC,2,1.01,4311.7
2018,975,2866,U,5 yr Undergrad,FASHION INST TECH UPPER DIVISION,PUBLIC,4-SUNY CC,25,20.65,86432.43
2018,2080,2868,U,2 yr Undergrad,HUDSON VALLEY COMMUNITY COLLEGE,PUBLIC,4-SUNY CC,2676,2051.92,5218675.51
2018,2036,6787,U,2 yr Undergrad,CLINTON COMMUNITY COLLEGE,PUBLIC,4-SUNY CC,452,341.01,1023569.49
2018,2180,2872,U,2 yr Undergrad,MONROE COMMUNITY COLLEGE,PUBLIC,4-SUNY CC,4584,3351.18,9537411.03
2018,2147,2877,U,2 yr Undergrad,ROCKLAND COMMUNITY COLLEGE,PUBLIC,4-SUNY CC,1100,851.51,2429512.31
2009,2157,2878,U,2 yr Undergrad,SUFFOLK COMMUNITY COLLEGE,PUBLIC,4-SUNY CC,6889,5274.04,10506534.52
2000,2053,2864,U,2 yr Undergrad,DUTCHESS COMMUNITY COLLEGE,PUBLIC,4-SUNY CC,1083,855.92,1050203.81
2006,2105,2871,U,2 yr Undergrad,MOHAWK VALLEY COMMUNITY COLLEGE,PUBLIC,4-SUNY CC,2862,2239.92,4341617.89
2005,2070,2866,U,5 yr Undergrad,FASHION INST TECH-LOWER DIVISION,PUBLIC,4-SUNY CC,8,5.75,12544.0
2005,2070,2866,U,2 yr Undergrad,FASHION INST TECH-LOWER DIVISION,PUBLIC,4-SUNY CC,1063,931.75,1730622.25
2009,2080,2868,U,2 yr Undergrad,HUDSON VALLEY COMMUNITY COLLEGE,PUBLIC,4-SUNY CC,4272,3253.38,5393076.47
2009,2080,2868,U,4 yr Undergrad,HUDSON VALLEY COMMUNITY COLLEGE,PUBLIC,4-SUNY CC,1,0.5,1181.0
2005,2065,10684,U,5 yr Undergrad,ERIE COMMUNITY COLLEGE,PUBLIC,4-SUNY CC,21,14.17,33975.76
2009,2085,2869,U,2 yr Undergrad,JAMESTOWN COMMUNITY COLLEGE,PUBLIC,4-SUNY CC,2286,1806.25,3890240.46
2005,2065,10684,U,4 yr Undergrad,ERIE COMMUNITY COLLEGE,PUBLIC,4-SUNY CC,1,0.5,604.0
2005,2065,10684,U,2 yr Undergrad,ERIE COMMUNITY COLLEGE,PUBLIC,4-SUNY CC,6630,5008.08,9078178.17
2005,2053,2864,U,2 yr Undergrad,DUTCHESS COMMUNITY COLLEGE,PUBLIC,4-SUNY CC,1444,1149.0,1641079.25
2009,2113,2873,U,2 yr Undergrad,NASSAU COMMUNITY COLLEGE,PUBLIC,4-SUNY CC,5900,4449.58,9519775.63
2005,2042,2863,U,4 yr Undergrad,CORNING COMMUNITY COLLEGE,PUBLIC,4-SUNY CC,1,0.17,495.0
2009,2147,2877,U,2 yr Undergrad,ROCKLAND COMMUNITY COLLEGE,PUBLIC,4-SUNY CC,1563,1202.58,2344265.3
2009,2157,2878,U,4 yr Undergrad,SUFFOLK COMMUNITY COLLEGE,PUBLIC,4-SUNY CC,1,0.5,1202.0
2009,2157,2878,U,5 yr Undergrad,SUFFOLK COMMUNITY COLLEGE,PUBLIC,4-SUNY CC,1,0.5,1462.5
2005,2038,6789,U,2 yr Undergrad,COLUMBIA-GREENE COMMUNITY COLLEGE,PUBLIC,4-SUNY CC,688,535.92,937855.46
2009,2160,2881,U,5 yr Undergrad,WESTCHESTER COMMUNITY COLLEGE,PUBLIC,4-SUNY CC,4,3.0,6292.5
2005,2036,6787,U,4 yr Undergrad,CLINTON COMMUNITY COLLEGE,PUBLIC,4-SUNY CC,1,0.5,250.0
2009,2180,2872,U,2 yr Undergrad,MONROE COMMUNITY COLLEGE,PUBLIC,4-SUNY CC,8147,6138.38,10720267.29
2009,2180,2872,U,5 yr Undergrad,MONROE COMMUNITY COLLEGE,PUBLIC,4-SUNY CC,10,6.5,17136.0
2005,2080,2868,U,2 yr Undergrad,HUDSON VALLEY COMMUNITY COLLEGE,PUBLIC,4-SUNY CC,3681,2861.83,4087623.5
2009,2070,2866,U,5 yr Undergrad,FASHION INST TECH-LOWER DIVISION,PUBLIC,4-SUNY CC,1,0.5,1807.0
2009,2070,2866,U,2 yr Undergrad,FASHION INST TECH-LOWER DIVISION,PUBLIC,4-SUNY CC,1035,915.5,1933297.03
2009,2065,10684,U,5 yr Undergrad,ERIE COMMUNITY COLLEGE,PUBLIC,4-SUNY CC,13,9.0,27368.0
2017,975,2866,U,5 yr Undergrad,FASHION INST TECH UPPER DIVISION,PUBLIC,4-SUNY CC,40,28.54,122849.22
2017,2080,2868,U,5 yr Undergrad,HUDSON VALLEY COMMUNITY COLLEGE,PUBLIC,4-SUNY CC,1,0.5,2095.0
2017,2000,2860,U,2 yr Undergrad,ADIRONDACK COMMUNITY COLLEGE,PUBLIC,4-SUNY CC,1235,959.38,2446373.12
2017,2005,2861,U,2 yr Undergrad,CAYUGA COMMUNITY COLLEGE,PUBLIC,4-SUNY CC,1097,832.5,2300382.15
2000,2256,7532,U,2 yr Undergrad,FINGER LAKES COMMUNITY COLLEGE,PUBLIC,4-SUNY CC,1634,1326.17,1610220.02
2000,2256,7532,U,5 yr Undergrad,FINGER LAKES COMMUNITY COLLEGE,PUBLIC,4-SUNY CC,3,1.33,2713.14
2000,2258,7111,U,2 yr Undergrad,NORTH COUNTRY COMMUNITY COLLEGE,PUBLIC,4-SUNY CC,631,509.75,724499.89
2000,2260,6788,U,2 yr Undergrad,TOMPKINS CORTLAND COMM COLLEGE,PUBLIC,4-SUNY CC,1209,946.75,1461506.45
2005,2125,2876,U,2 yr Undergrad,ORANGE COUNTY COMMUNITY COLLEGE,PUBLIC,4-SUNY CC,1439,1106.92,1763160.27
2009,2185,2875,U,2 yr Undergrad,ONONDAGA COMMUNITY COLLEGE,PUBLIC,4-SUNY CC,4615,3532.83,6911916.7
2005,2113,2873,U,2 yr Undergrad,NASSAU COMMUNITY COLLEGE,PUBLIC,4-SUNY CC,4741,3585.33,6863550.43
2009,2000,2860,U,2 yr Undergrad,ADIRONDACK COMMUNITY COLLEGE,PUBLIC,4-SUNY CC,1673,1274.75,2259069.68
2009,2005,2861,U,2 yr Undergrad,CAYUGA COMMUNITY COLLEGE,PUBLIC,4-SUNY CC,2021,1487.75,3362636.63
2009,2025,2862,U,2 yr Undergrad,BROOME COMMUNITY COLLEGE,PUBLIC,4-SUNY CC,2863,2240.79,4172865.23
2009,2025,2862,U,5 yr Undergrad,BROOME COMMUNITY COLLEGE,PUBLIC,4-SUNY CC,2,1.5,4764.0
2009,2038,6789,U,2 yr Undergrad,COLUMBIA-GREENE COMMUNITY COLLEGE,PUBLIC,4-SUNY CC,849,648.33,1317086.51
2005,2085,2869,U,2 yr Undergrad,JAMESTOWN COMMUNITY COLLEGE,PUBLIC,4-SUNY CC,1922,1529.25,2814318.83
2009,2042,2863,U,2 yr Undergrad,CORNING COMMUNITY COLLEGE,PUBLIC,4-SUNY CC,1940,1449.25,3101133.45
2009,2053,2864,U,2 yr Undergrad,DUTCHESS COMMUNITY COLLEGE,PUBLIC,4-SUNY CC,2183,1717.08,2768589.48
2009,2065,10684,U,4 yr Undergrad,ERIE COMMUNITY COLLEGE,PUBLIC,4-SUNY CC,1,0.5,529.5
2005,2105,2871,U,2 yr Undergrad,MOHAWK VALLEY COMMUNITY COLLEGE,PUBLIC,4-SUNY CC,2986,2353.17,4265526.13
2017,2065,10684,U,5 yr Undergrad,ERIE COMMUNITY COLLEGE,PUBLIC,4-SUNY CC,1,0.5,2381.5
2005,2036,6787,U,2 yr Undergrad,CLINTON COMMUNITY COLLEGE,PUBLIC,4-SUNY CC,1014,782.75,1399951.0
2009,2220,2870,U,4 yr Undergrad,JEFFERSON COMMUNITY COLLEGE,PUBLIC,4-SUNY CC,1,0.33,1076.02
2009,5750,2866,G,Grad,FASHION INST TECHNOLOGY-GRAD,PUBLIC,4-SUNY CC,8,8.0,2618.0
2017,2240,2867,U,2 yr Undergrad,FULTON MONTGOMERY COMM COLLEGE,PUBLIC,4-SUNY CC,895,664.17,1895035.8
